                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.17709,                  0.812,                      1,                0.26746,              0.0001071,              0.0001071,              0.0001071
                      2,                0.09132,                   0.98,                      1,                0.19931,             0.00021915,             0.00021915,             0.00021915
                      3,                0.04214,                  0.996,                      1,                0.16821,             0.00032894,             0.00032894,             0.00032894
                      4,                0.02148,                      1,                      1,                0.15868,             0.00043646,             0.00043646,             0.00043646
                      5,                0.00862,                      1,                      1,                0.15534,             0.00054172,             0.00054172,             0.00054172
                      6,                0.00779,                      1,                      1,                0.15426,             0.00064472,             0.00064472,             0.00064472
                      7,                0.00279,                      1,                      1,                0.15361,             0.00067159,             0.00067159,             0.00067159
                      8,                0.00372,                      1,                      1,                0.15331,             0.00067159,             0.00067159,             0.00067159
                      9,                 0.0008,                      1,                      1,                0.15331,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00169,                      1,                      1,                0.15319,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00599,                      1,                      1,                0.15319,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00309,                      1,                      1,                0.15317,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00033,                      1,                      1,                0.15316,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00186,                      1,                      1,                0.15321,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00605,                      1,                      1,                0.15321,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00139,                      1,                      1,                0.15324,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00138,                      1,                      1,                0.15326,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00072,                      1,                      1,                0.15322,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00186,                      1,                      1,                0.15317,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00121,                      1,                      1,                0.15315,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00164,                      1,                      1,                0.15312,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00768,                      1,                      1,                0.15313,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00165,                      1,                      1,                0.15317,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00399,                      1,                      1,                0.15322,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00304,                      1,                      1,                0.15334,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00233,                      1,                      1,                0.15325,             0.00054435,             0.00054435,             0.00054435
                     27,                 0.0006,                      1,                      1,                0.15321,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00123,                      1,                      1,                0.15319,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00114,                      1,                      1,                0.15317,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00057,                      1,                      1,                0.15311,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00038,                      1,                      1,                0.15307,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00024,                      1,                      1,                0.15305,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00019,                      1,                      1,                0.15302,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00039,                      1,                      1,                0.15302,              0.0004878,              0.0004878,              0.0004878
                     35,                  7e-05,                      1,                      1,                0.15301,             0.00048074,             0.00048074,             0.00048074
                     36,                  9e-05,                      1,                      1,                0.15301,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00028,                      1,                      1,                  0.153,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00101,                      1,                      1,                  0.153,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00011,                      1,                      1,                  0.153,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00093,                      1,                      1,                0.15299,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00021,                      1,                      1,                  0.153,             0.00043832,             0.00043832,             0.00043832
                     42,                  9e-05,                      1,                      1,                0.15299,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00012,                      1,                      1,                0.15299,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00014,                      1,                      1,                0.15299,             0.00041712,             0.00041712,             0.00041712
                     45,                  6e-05,                      1,                      1,                0.15298,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00024,                      1,                      1,                0.15299,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00046,                      1,                      1,                0.15298,             0.00039591,             0.00039591,             0.00039591
                     48,                  5e-05,                      1,                      1,                0.15298,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00045,                      1,                      1,                0.15298,             0.00038178,             0.00038178,             0.00038178
                     50,                  6e-05,                      1,                      1,                0.15298,             0.00037471,             0.00037471,             0.00037471
                     51,                  9e-05,                      1,                      1,                0.15298,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00019,                      1,                      1,                0.15298,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00022,                      1,                      1,                0.15297,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00075,                      1,                      1,                0.15297,             0.00034643,             0.00034643,             0.00034643
                     55,                  8e-05,                      1,                      1,                0.15297,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00011,                      1,                      1,                0.15297,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00013,                      1,                      1,                0.15297,             0.00032523,             0.00032523,             0.00032523
                     58,                  4e-05,                      1,                      1,                0.15298,             0.00031816,             0.00031816,             0.00031816
                     59,                  5e-05,                      1,                      1,                0.15297,             0.00031109,             0.00031109,             0.00031109
                     60,                  6e-05,                      1,                      1,                0.15298,             0.00030402,             0.00030402,             0.00030402
                     61,                0.00012,                      1,                      1,                0.15297,             0.00029695,             0.00029695,             0.00029695
                     62,                  4e-05,                      1,                      1,                0.15297,             0.00028988,             0.00028988,             0.00028988
                     63,                  5e-05,                      1,                      1,                0.15297,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00019,                      1,                      1,                0.15297,             0.00027575,             0.00027575,             0.00027575
                     65,                  9e-05,                      1,                      1,                0.15297,             0.00026868,             0.00026868,             0.00026868
                     66,                  6e-05,                      1,                      1,                0.15297,             0.00026161,             0.00026161,             0.00026161
                     67,                  2e-05,                      1,                      1,                0.15297,             0.00025454,             0.00025454,             0.00025454
                     68,                  7e-05,                      1,                      1,                0.15297,             0.00024747,             0.00024747,             0.00024747
                     69,                  3e-05,                      1,                      1,                0.15297,              0.0002404,              0.0002404,              0.0002404
                     70,                 0.0002,                      1,                      1,                0.15297,             0.00023334,             0.00023334,             0.00023334
                     71,                  4e-05,                      1,                      1,                0.15297,             0.00022627,             0.00022627,             0.00022627
                     72,                  4e-05,                      1,                      1,                0.15297,              0.0002192,              0.0002192,              0.0002192
                     73,                  9e-05,                      1,                      1,                0.15297,             0.00021213,             0.00021213,             0.00021213
                     74,                  5e-05,                      1,                      1,                0.15297,             0.00020506,             0.00020506,             0.00020506
                     75,                  6e-05,                      1,                      1,                0.15297,             0.00019799,             0.00019799,             0.00019799
                     76,                  7e-05,                      1,                      1,                0.15297,             0.00019092,             0.00019092,             0.00019092
                     77,                  6e-05,                      1,                      1,                0.15297,             0.00018385,             0.00018385,             0.00018385
                     78,                  3e-05,                      1,                      1,                0.15297,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00031,                      1,                      1,                0.15297,             0.00016972,             0.00016972,             0.00016972
                     80,                0.00021,                      1,                      1,                0.15297,             0.00016265,             0.00016265,             0.00016265
                     81,                  3e-05,                      1,                      1,                0.15297,             0.00015558,             0.00015558,             0.00015558
                     82,                  4e-05,                      1,                      1,                0.15297,             0.00014851,             0.00014851,             0.00014851
                     83,                0.00026,                      1,                      1,                0.15297,             0.00014144,             0.00014144,             0.00014144
                     84,                  4e-05,                      1,                      1,                0.15297,             0.00013437,             0.00013437,             0.00013437
                     85,                  4e-05,                      1,                      1,                0.15297,             0.00012731,             0.00012731,             0.00012731
                     86,                0.00013,                      1,                      1,                0.15297,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00028,                      1,                      1,                0.15297,             0.00011317,             0.00011317,             0.00011317
                     88,                  7e-05,                      1,                      1,                0.15297,              0.0001061,              0.0001061,              0.0001061
                     89,                  7e-05,                      1,                      1,                0.15297,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                  4e-05,                      1,                      1,                0.15297,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                 0.0003,                      1,                      1,                0.15297,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                  4e-05,                      1,                      1,                0.15297,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                  4e-05,                      1,                      1,                0.15297,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                  3e-05,                      1,                      1,                0.15297,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00018,                      1,                      1,                0.15297,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                  7e-05,                      1,                      1,                0.15297,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                  3e-05,                      1,                      1,                0.15297,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                  5e-05,                      1,                      1,                0.15297,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                  3e-05,                      1,                      1,                0.15297,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                  4e-05,                      1,                      1,                0.15297,             2.1277e-05,             2.1277e-05,             2.1277e-05
